strategy_id,instrument,session,tp,sl,mode,account_size,account_spec,contracts,daily_profit_cap_mode,total_payouts_dollars,avg_payout_per_week,avg_payout_per_month,payouts_count,resets,failed_combines,consistency_violations,winning_days,win_rate,max_drawdown_pct,avg_trade_pnl,trades_executed,final_equity,daily_limit_hits,profit_cap_blocks,avg_daily_profit
003,NQ,London,0.3,8.0,hold_day,50k,50k_standard,1,False,728000.0,1916.7983149025802,8050.552922590837,182,191,9,566,1373,72.3012111637704,4.35,1396.3014368464608,1899,51500.0,683,0,1396.3014368464608
003,NQ,London,0.3,8.0,hold_day,50k,50k_standard,1,True,24000.0,120.24048096192385,505.0100200400801,6,57,51,0,472,47.29458917835671,5.489999999999999,-73.45548239335814,998,51735.0,683,901,-73.45548239335814
003,NQ,London,0.3,8.0,hold_day,50k,50k_consistency,1,False,1116000.0,2938.388625592417,12341.232227488152,186,195,9,1066,1373,72.3012111637704,4.35,1396.3014368464608,1899,63495.0,683,0,1396.3014368464608
003,NQ,London,0.3,8.0,hold_day,50k,50k_consistency,1,True,36000.0,180.3607214428858,757.5150300601202,6,57,51,0,472,47.29458917835671,5.489999999999999,-73.45548239335814,998,51735.0,683,901,-73.45548239335814
003,NQ,London,0.3,8.0,hold_day,50k,150k_standard,1,False,1320000.0,3085.5539971949506,12959.326788218794,132,143,11,300,1373,64.18887330528284,3.52,1074.2135844520137,2139,151500.0,443,0,1074.2135844520137
003,NQ,London,0.3,8.0,hold_day,50k,150k_standard,1,True,240000.0,710.0591715976332,2982.248520710059,24,50,26,0,924,54.67455621301775,3.9800000000000004,113.68808114961956,1690,157440.0,443,449,113.68808114961956
003,NQ,London,0.3,8.0,hold_day,50k,150k_consistency,1,False,1584000.0,3702.664796633941,15551.192145862551,132,143,11,494,1373,64.18887330528284,3.49889003015142,1074.2135844520137,2139,159095.0,443,0,1074.2135844520137
003,NQ,London,0.3,8.0,hold_day,50k,150k_consistency,1,True,288000.0,852.0710059171597,3578.698224852071,24,50,26,0,924,54.67455621301775,3.9800000000000004,113.68808114961956,1690,157440.0,443,449,113.68808114961956
051,NQ,London,0.5,8.0,hold_day,50k,50k_standard,1,False,756000.0,1983.2109129066107,8329.485834207766,189,196,7,481,1396,73.2423924449108,4.86097794822627,1415.0074951281667,1906,62075.0,666,0,1415.0074951281667
051,NQ,London,0.5,8.0,hold_day,50k,50k_standard,1,True,28000.0,140.7035175879397,590.9547738693467,7,55,48,0,485,48.743718592964825,5.65,-50.262024407753074,995,50500.0,666,911,-50.262024407753074
